timestamp,device_id,measurement_point,distance_1_cm,distance_2_cm,distance_3_cm,tilt_x_deg,tilt_y_deg,vibration_rms_g,gas_raw_adc,temperature_c,humidity_pct,battery_voltage_v,latitude,longitude,altitude_m,connection_status
2026-09-06T12:50:00.000Z,ROVER_01,Transit,21.8,22.1,21.9,0.8,0.5,0.12,390,28.4,72,12.4,23.752400,86.421800,184.5,online
2026-09-06T12:50:05.000Z,ROVER_01,Transit,21.7,22.0,21.9,0.9,0.6,0.14,395,28.5,72,12.4,23.752420,86.421830,184.5,online
2026-09-06T12:50:10.000Z,ROVER_01,Transit,21.5,21.8,21.7,1.1,0.7,0.16,402,28.6,73,12.4,23.752445,86.421870,184.4,online
2026-09-06T12:50:15.000Z,ROVER_01,MP-01,21.2,21.4,21.5,1.4,0.9,0.19,415,28.7,73,12.3,23.752480,86.421910,184.3,online
2026-09-06T12:50:20.000Z,ROVER_01,MP-01,20.8,21.0,21.2,1.8,1.2,0.22,430,28.8,74,12.3,23.752480,86.421910,184.3,online
2026-09-06T12:50:25.000Z,ROVER_01,MP-01,20.4,20.6,20.9,2.2,1.5,0.26,448,28.9,74,12.3,23.752480,86.421910,184.3,online
2026-09-06T12:50:30.000Z,ROVER_01,Transit,19.8,20.1,20.5,2.7,1.8,0.31,465,29.1,75,12.2,23.752520,86.421950,184.1,online
2026-09-06T12:50:35.000Z,ROVER_01,Transit,19.2,19.5,20.0,3.2,2.1,0.36,488,29.2,75,12.2,23.752560,86.421990,183.9,online
2026-09-06T12:50:40.000Z,ROVER_01,MP-02,18.5,18.8,19.4,3.8,2.5,0.42,512,29.4,76,12.1,23.752610,86.422040,183.7,online
2026-09-06T12:50:45.000Z,ROVER_01,MP-02,17.8,18.0,18.7,4.5,2.9,0.48,545,29.6,76,12.1,23.752610,86.422040,183.7,online
2026-09-06T12:50:50.000Z,ROVER_01,Transit,17.1,17.3,18.1,5.1,3.4,0.55,580,29.8,77,12.0,23.752670,86.422100,183.4,online
2026-09-06T12:50:55.000Z,ROVER_01,Transit,16.4,16.5,17.4,5.8,3.9,0.62,620,30.0,78,12.0,23.752730,86.422160,183.1,online
2026-09-06T12:51:00.000Z,ROVER_01,MP-03,15.6,15.8,16.8,6.4,4.3,0.71,675,30.2,79,11.9,23.752790,86.422220,182.8,online
